id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOH0OdNIPd1cpr8wF7B245chlTYqwCBpaAo6Wb9kUnYs1xcHALQS5SefDw3Uyd-YUpKJNWcevepcfBcOzzU,Marcela Leus,https://lh4.googleusercontent.com/-v1Lyrx3eGg0/AAAAAAAAAAI/AAAAAAAANz8/VvgmsLSAAKg/w96-h96-p/photo.jpg,"January 22, 2018",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPSDBPZE5JUGQxY3ByOHdGN0IyNDVjaGxUWXF3Q0JwYUFvNldiOWtVbllzMXhjSEFMUVM1U2VmRHczVXlkLVlVcEtKTldjZXZlcGNmQmNPenpV,5,,"I'm a little conflicted because I need to track my mood but I have also been using your Journey app for a while, and I love it. The mood tracking is a necessity for me, but it does not make sense why it does not integrate in Journey. Or just that there's was a Mindset score with the predictions, within Journey without the social media integration etc.  Activity count needs Fitbit integration! Please! Clue app integration would also be amazing! Overall I love the stats and the calendar views!",undefined,undefined
gp:AOqpTOESAUI88_aA6wmcRb-F_9NQlLH4uxtVQUIDDHmJ_aCBcka7NWlLPVo7fU_K8P_90CmSN5OznH-flWsWYhc,Cassandra Telenko,https://lh3.googleusercontent.com/-Nmw-5R7pt2g/AAAAAAAAAAI/AAAAAAAAXPE/H99f2PLQ1fg/w96-h96-p/photo.jpg,"January 24, 2018",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPRVNBVUk4OF9hQTZ3bWNSYi1GXzlOUWxMSDR1eHRWUVVJRERIbUpfYUNCY2thN05XbExQVm83ZlVfSzhQXzkwQ21TTjVPem5ILWZsV3NXWWhj,5,,"I needed a way to log events that made me feel happy or sad and to reflect for cognitive behavioral therapy. The dedicated apps for that were too analytical. I'm already analytical, I don't need to diagnose myself. I just need to work on awareness and acceptance and practice sitting with my feelings. This journal helps. It tracks mood, has custom tags if I want to do any kind of ANOVA.",undefined,undefined
gp:AOqpTOFibZmcxvTX-NceRzMK1Gb2F0ZjAXqgtopb5GjIBGJKibZ9T8CewRkoSj6RKj4i0Bgt5EdEoZsYTG4VviU,Hưng Rovnro,https://lh4.googleusercontent.com/-bq0HGLjg0C8/AAAAAAAAAAI/AAAAAAAAG4I/dfIIBATUAiQ/w96-h96-p/photo.jpg,"May 31, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPRmliWm1jeHZUWC1OY2VSek1LMUdiMkYwWmpBWHFndG9wYjVHaklCR0pLaWJaOVQ4Q2V3UmtvU2o2UktqNGkwQmd0NUVkRW9ac1lURzRWdmlV,4,,"Overall, great app. - Doesn't have a wide range of icons (and they're quite ugly). - Still buggy while switching tabs. - The mood icon is too small comparing to the rest of the content on Entry tab so it doesn't emphasize the main idea of this app: a mood diary. Maybe you should try changing colors of the description or icons so it matches with the moods.","June 2, 2017","Hello, thank you for your review. We will forward your feedback to the developers :)"
gp:AOqpTOEeqqc0ywOMFI4JMxAa5hD-vb0m0DpyK9Asaa2MF-hk6AIfxdtSYQgpKdMwSGuGmdreOL-onh4XuZltxzc,Nicole McMillen,https://lh4.googleusercontent.com/-KMWWtjgs0-E/AAAAAAAAAAI/AAAAAAAAABI/B_um25CxhHw/w96-h96-p/photo.jpg,"September 15, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPRWVxcWMweXdPTUZJNEpNeEFhNWhELXZiMG0wRHB5SzlBc2FhMk1GLWhrNkFJZnhkdFNZUWdwS2RNd1NHdUdtZHJlT0wtb25oNFh1Wmx0eHpj,4,,"Overall its a good app. Its smooth but could use some work in the mood area. Maybe add more moods or give the user an option to choose from many other moods to get it more specific. Some words the AI defines as negative I don't mean in a negative manner. Or as positive when in actually pretty upset. Also my only other issue is it needs more statistics, such as weekly.",undefined,undefined
gp:AOqpTOEHHsuvHRpJCGuDCaRfTiJRyxtz71l7CRj3piOFs1qrmS-8q0al00Vv-EneXowEiiyX-HkqGFLFEMBwdiU,Luke Specht,https://lh4.googleusercontent.com/-8QpIQa4HQXo/AAAAAAAAAAI/AAAAAAAAElI/5fSCpua9fnk/w96-h96-p/photo.jpg,"July 6, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPRUhIc3V2SFJwSkNHdURDYVJmVGlKUnl4dHo3MWw3Q1JqM3BpT0ZzMXFybVMtOHEwYWwwMFZ2LUVuZVhvd0VpaXlYLUhrcUdGTEZFTUJ3ZGlV,3,,"I find the app incredibly useful, and generally like the design. My one gripe (and this is pretty important for my use case) is that there is not a wide enough range of ""moods."" There definitely needs to be some more moods in-between the currently existing ones. Perhaps even a way to tag up our own set of moods for use","July 7, 2017","Hello Luke, thank you for your support! :) We will forward your feedback to the developers for their consideration."
gp:AOqpTOHS5ETkcMLDVLL_yjJlx5KmzeachC-mXwZFpWKA7uxk0geGMbqAjleHhByIG_dB_dP2KfEnYff5VKdnuBM,Janine Avenido,https://lh6.googleusercontent.com/-76GcDtQcakA/AAAAAAAAAAI/AAAAAAAAHcA/KRamogtj9vI/w96-h96-p/photo.jpg,"July 14, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPSFM1RVRrY01MRFZMTF95akpseDVLbXplYWNoQy1tWHdaRnBXS0E3dXhrMGdlR01icUFqbGVIaEJ5SUdfZEJfZFAyS2ZFbllmZjVWS2RudUJN,5,,"I love the interface, features are complete, everything works fine. Even leaning towards getting the pro version, not just to remove ads, they're not really intrusive, but mostly to support the devs. I just wish there's a way to rearrange the order of activities. But other than that, it's a super app!","July 14, 2017","Hello Janine, thank you for your feedback! We hope that MoodCast will continue to be helpful for you :)"
gp:AOqpTOFtVsFo_1hvII2W2cK-0qmJ_U8ncGQU4KBPOB59TaxCOcuirI3D54PJlidiGgZ1x7fudJBBOIwpZ34Iq68,,https://lh4.googleusercontent.com/-8jZ4jjOofdM/AAAAAAAAAAI/AAAAAAAAAAA/PiatLPFmUJE/w96-h96-p/photo.jpg,"December 20, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPRnRWc0ZvXzFodklJMlcyY0stMHFtSl9VOG5jR1FVNEtCUE9CNTlUYXhDT2N1aXJJM0Q1NFBKbGlkaUdnWjF4N2Z1ZEpCQk9Jd3BaMzRJcTY4,5,,"I work for a health tech company where we also do mood tracking. I find this app to be superior because of it's useful simplicity. Some mood tracking apps give too many mood scale options, this has just the right  amount. The reminders are gentle enough that I don't unsubscribe from them, and I like the data visualization features.  My only complaint is that I want to sort my activities by alphabetical order. It's cognitively cumbersome to have to jump around the list because they aren't alphabetically sorted.",undefined,undefined
gp:AOqpTOHsY_WliSQV5PsC42gllTYMCNyb8dvy_vEPTZDs2VpRde9x6ssu5uMfcT-Jjq2qUueO1UaF1oxRRX3kEYQ,Nicole LeMaster,https://lh4.googleusercontent.com/-7k8Y2G-qi3I/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXITitSdvXz1G9KGmWjL0b3oQpROA/w96-h96-p/photo.jpg,"December 13, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPSHNZX1dsaVNRVjVQc0M0MmdsbFRZTUNOeWI4ZHZ5X3ZFUFRaRHMyVnBSZGU5eDZzc3U1dU1mY1QtSmpxMnFVdWVPMVVhRjFveFJSWDNrRVlR,4,,"Seems to be pretty much everything I need to track my mood! I love that it even takes my Facebook posts to add to it! Although, I'd prefer if there was an option to choose what type of posts it actually looks at. I share other posts all day, of various ""feelings"" but most things I share don't actually effect my mood over all. I can be outraged about a post I shared, but that doesn't mean I'm in a bad mood in general! This would be my biggest complaint. With the way I use Facebook, if it's connected, moodcast becomes more of an app to track how positive or negative my feed is over all, instead of my actual mood. So it still has purpose, to keep track of my Facebook. But not my true to size moods. If it could record posts I make only, instead of posts I share, I think it would be much more effective!",undefined,undefined
gp:AOqpTOHs1XBGHd3uwOZ3pDohHNp-7rt4NO8B5lz74uLRMaEc0FV6CPQhEuU4OfO6nf2C0XcXFvKlOYd5fsUypNQ,Sienna,https://lh4.googleusercontent.com/-eZlbCA_yQYM/AAAAAAAAAAI/AAAAAAAAHfA/qaNCE4XWfCs/w96-h96-p/photo.jpg,"May 31, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPSHMxWEJHSGQzdXdPWjNwRG9oSE5wLTdydDROTzhCNWx6NzR1TFJNYUVjMEZWNkNQUWhFdVU0T2ZPNm5mMkMwWGNYRnZLbE9ZZDVmc1V5cE5R,5,,It's a great app and I love being able to track my days on this app. One thing I would change (it's not a huge deal though) is being able to change the apps color theme to something that fits you more. All in all it's truly a great app. 👍,"June 2, 2017","Hello, thank you for your support :)"
gp:AOqpTOHyZQqmV7KhqtOyGz4haC62B-xuOuhkesBxxsmNdUAsGEgpUP4B1OnsPYpi2W7Smz8C7d1lt9EVAQ3lO0E,Anna Marie,https://lh4.googleusercontent.com/-xWJVACGOjfg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVNuN2w2n9Xw_EJhTqub3Ogzh9ROA/w96-h96-p/photo.jpg,"January 10, 2018",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPSHlaUXFtVjdLaHF0T3lHejRoYUM2MkIteHVPdWhrZXNCeHhzbU5kVUFzR0VncFVQNEIxT25zUFlwaTJXN1NtejhDN2QxbHQ5RVZBUTNsTzBF,5,All journey users should get this app!,"All journey users should get this app! I used journey with daylio before until I found out about this app! The stats and tags are great and the fact that an AI decodes your mood is most unexpected, it's amazing! It even predicts my mood better than myself when I'm hesitant. Two things I'd appreciate though would be to have common tags between both apps instead of having to type it again each time and to sort same-day entries from newest to oldest. It feels weird otherwise!",undefined,undefined
gp:AOqpTOGImrjBfnX9cAxuc99vLLY5skSN_8keXFkYmO-oB5sHYblYat2hx7feYELf3MIbgqoTRST-qvYaXD-O_q8,Ancelot Pinto,https://lh5.googleusercontent.com/-3bo990A_yOk/AAAAAAAAAAI/AAAAAAAABOc/nDgWstEP1VQ/w96-h96-p/photo.jpg,"November 28, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPR0ltcmpCZm5YOWNBeHVjOTl2TExZNXNrU05fOGtlWEZrWW1PLW9CNXNIWWJsWWF0Mmh4N2ZlWUVMZjNNSWJncW9UUlNULXF2WWFYRC1PX3E4,5,,This is an excellent app and I love the unique mood prediction feature. Lately I am having trouble using it on my OnePlus 5 the issue being that is crashes within seconds of launch. I'm afraid to reinstall as it may cause me to lose all my entries so far. Please see if you can fix it.,undefined,undefined
gp:AOqpTOGQ4O96v1E01QrXdWOZL7e1t_Rm_VrCtxv9wNh4AZZAh0R8jH_yNfUmh5SB6Xq1s80utgY318Kb2gx-4rk,Felicia108,https://lh6.googleusercontent.com/-OF4Ofo175yk/AAAAAAAAAAI/AAAAAAAAAac/BxVey5IyW0g/w96-h96-p/photo.jpg,"July 19, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPR1E0Tzk2djFFMDFRclhkV09aTDdlMXRfUm1fVnJDdHh2OXdOaDRBWlpBaDBSOGpIX3lOZlVtaDVTQjZYcTFzODB1dGdZMzE4S2IyZ3gtNHJr,3,,"Pretty good so far I have a few suggestions. Make the mood and the activities the main part of the Entry so we don't have to click the option on the bottom, rather it should take place of the text section. activities should be in small thumbnail view with the description underneath rather than a list, give ability to reorder the activities list, shouldn't require text/comment to make entry, I use Journey so let journey automatically sync up with this app, not just one way.","July 21, 2017","Hi Felicia, we will forward your feedback to the developers."
gp:AOqpTOFvzrzQO6z4nRRfTXtsgGPislsgsh3q9d3-bpEW32Awp9ba1C_sc-xxuNyHV1hwuMHyShtbzh1124EzvMw,Michel Laevens,https://lh3.googleusercontent.com/-HQWEetuvTgY/AAAAAAAAAAI/AAAAAAAAAWM/BVVd1470W-U/w96-h96-p/photo.jpg,"June 10, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPRnZ6cnpRTzZ6NG5SUmZUWHRzZ0dQaXNsc2dzaDNxOWQzLWJwRVczMkF3cDliYTFDX3NjLXh4dU55SFYxaHd1TUh5U2h0YnpoMTEyNEV6dk13,5,,"Very good start. I wished I could edit text imported from social networks. (Inside honesty can be  different from what you publish). Ability to import social media data can even be controversial. On social media, you try to convey an image of yourself. In this app, you try to be honest with yourself. Hence the need to tweak the social posts for intellectual accuracy","June 11, 2017","Hello Michel, thank you for your feedback. We will forward it to the developers :)"
gp:AOqpTOFtwBmDjczqsN-MI0UcKOUtRGW0vhV5ZoQYfp1_GqgmIysjib5JXd4Bb6FERdGio5uJ-JNlCiMBsAPhDU4,André Kfouri,https://lh5.googleusercontent.com/-kh0RdnaoZ7c/AAAAAAAAAAI/AAAAAAAASaQ/_ezlnh3KISY/w96-h96-p/photo.jpg,"October 17, 2017",https://play.google.com/store/apps/details?id=com.journey.mood&reviewId=Z3A6QU9xcFRPRnR3Qm1EamN6cXNOLU1JMFVjS09VdFJHVzB2aFY1Wm9RWWZwMV9HcWdtSXlzamliNUpYZDRCYjZGRVJkR2lvNXVKLUpObENpTUJzQVBoRFU0,3,,"The interface is not consistent with the devs' other apps, that are gorgeous. Also the mood prediction being limited to English is understandable, but unfortunate. The app could at least let us add our own custom keywords, if not other whole languages.",undefined,undefined
